book_title,isbn,isbn13,asin,year_first_published,author,num_pages,genres,num_ratings,average_rating,rating_distribution
The Testament of Jessie Lamb,1905207581,9781905207589,1905207581,2011.0,Jane Rogers,240,"['Fiction', 'Science Fiction', 'Dystopia', 'Young Adult', 'Speculative Fiction', 'Post Apocalyptic', 'Literature']",1945,3.11,"{'5 Stars': 183, '4 Stars': 483, '3 Stars': 762, '2 Stars': 395, '1 Star': 122}"
Winterlong,0061057304,9780061057304,0061057304,1990.0,Elizabeth Hand,349,"['Fantasy', 'Science Fiction', 'Fiction', 'Dystopia', 'Post Apocalyptic', 'Apocalyptic', 'Horror']",876,3.7,"{'5 Stars': 233, '4 Stars': 300, '3 Stars': 229, '2 Stars': 79, '1 Star': 35}"
Children of the Dust,0099433427,9780099433422,0099433427,1985.0,Louise Lawrence,176,"['Young Adult', 'Science Fiction', 'Fiction', 'Post Apocalyptic', 'Dystopia', 'Fantasy', 'Apocalyptic']",2178,3.99,"{'5 Stars': 798, '4 Stars': 784, '3 Stars': 431, '2 Stars': 116, '1 Star': 49}"
Rebirth,0373803397,9780373803392,0373803397,2011.0,Sophie Littlefield,384,"['Zombies', 'Dystopia', 'Horror', 'Post Apocalyptic', 'Science Fiction', 'Apocalyptic', 'Fantasy']",1291,3.79,"{'5 Stars': 365, '4 Stars': 466, '3 Stars': 332, '2 Stars': 84, '1 Star': 44}"
A Million Suns,159514398,9781595143983,159514398X,2012.0,Beth Revis,386,"['Young Adult', 'Science Fiction', 'Dystopia', 'Romance', 'Fantasy', 'Fiction', 'Mystery']",54925,4.01,"{'5 Stars': 20286, '4 Stars': 19927, '3 Stars': 10934, '2 Stars': 2622, '1 Star': 1156}"
Shades of Earth,1595143998,9781595143990,1595143998,2013.0,Beth Revis,369,"['Young Adult', 'Science Fiction', 'Dystopia', 'Romance', 'Fantasy', 'Fiction', 'Space']",34267,4.07,"{'5 Stars': 13734, '4 Stars': 11944, '3 Stars': 6341, '2 Stars': 1604, '1 Star': 644}"
Skylark,0761388656,9780761388654,0761388656,2012.0,Meagan Spooner,333,"['Fantasy', 'Young Adult', 'Dystopia', 'Science Fiction', 'Magic', 'Steampunk', 'Romance']",5083,3.71,"{'5 Stars': 1366, '4 Stars': 1682, '3 Stars': 1424, '2 Stars': 411, '1 Star': 200}"
Zone One,0385528078,9780385528078,0385528078,2011.0,Colson Whitehead,259,"['Horror', 'Fiction', 'Zombies', 'Science Fiction', 'Post Apocalyptic', 'Dystopia', 'Apocalyptic']",26359,3.25,"{'5 Stars': 3345, '4 Stars': 7845, '3 Stars': 8953, '2 Stars': 4455, '1 Star': 1761}"
Black Glass,1921640936,9781921640933,1921640936,2011.0,Meg Mundell,288,"['Science Fiction', 'Fiction', 'Dystopia', 'Young Adult', 'Australia', 'Speculative Fiction', 'Adult']",119,3.5,"{'5 Stars': 22, '4 Stars': 43, '3 Stars': 32, '2 Stars': 17, '1 Star': 5}"
Birthmarked,0312674724,9780312674724,0312674724,2010.0,Caragh M. O'Brien,362,"['Young Adult', 'Dystopia', 'Fantasy', 'Science Fiction', 'Fiction', 'Romance', 'Post Apocalyptic']",48684,3.89,"{'5 Stars': 15384, '4 Stars': 18095, '3 Stars': 10775, '2 Stars': 3134, '1 Star': 1296}"
The Eleventh Plague,0545290147,9780545290142,0545290147,2011.0,Jeff Hirsch,278,"['Young Adult', 'Dystopia', 'Post Apocalyptic', 'Science Fiction', 'Fiction', 'Audiobook', 'Survival']",14343,3.5,"{'5 Stars': 2842, '4 Stars': 4227, '3 Stars': 5028, '2 Stars': 1782, '1 Star': 464}"
The Fortunate Fall,0312863276,9780312863272,0312863276,1996.0,Cameron  Reed,288,"['Science Fiction', 'Cyberpunk', 'Fiction', 'Queer', 'Dystopia', 'LGBT', 'Speculative Fiction']",598,3.94,"{'5 Stars': 218, '4 Stars': 200, '3 Stars': 116, '2 Stars': 55, '1 Star': 9}"
The Demon Plague,1554102235,9781554102235,1554102235,2002.0,J. McFate,Paperback,"['Dystopia', 'Witches']",20,3.55,"{'5 Stars': 7, '4 Stars': 5, '3 Stars': 2, '2 Stars': 4, '1 Star': 2}"
Among the Enemy,0689857977,9780689857973,0689857977,2005.0,Margaret Peterson Haddix,240,"['Dystopia', 'Young Adult', 'Science Fiction', 'Fiction', 'Middle Grade', 'Childrens', 'Fantasy']",20263,4.15,"{'5 Stars': 8456, '4 Stars': 7265, '3 Stars': 3872, '2 Stars': 565, '1 Star': 105}"
Beta,1423157192,9781423157199,1423157192,2012.0,Rachel Cohn,331,"['Young Adult', 'Dystopia', 'Science Fiction', 'Romance', 'Fantasy', 'Fiction', 'Mystery']",7762,3.53,"{'5 Stars': 1894, '4 Stars': 2260, '3 Stars': 2172, '2 Stars': 951, '1 Star': 485}"
Ancient Light,057503629,9780575036291,057503629X,1988.0,Mary Gentle,539,"['Science Fiction', 'Fantasy', 'Fiction', 'Speculative Fiction', 'Science Fiction Fantasy', 'Space Opera']",403,3.66,"{'5 Stars': 99, '4 Stars': 130, '3 Stars': 123, '2 Stars': 41, '1 Star': 10}"
Shatter Me,0062085484,9780062085481,0062085484,2011.0,Tahereh Mafi,338,"['Dystopia', 'Young Adult', 'Fiction', 'Science Fiction', 'Paranormal', 'Enemies To Lovers', 'Audiobook']",1117185,3.84,"{'5 Stars': 352745, '4 Stars': 384960, '3 Stars': 265654, '2 Stars': 78623, '1 Star': 35203}"
Variant,0062026089,9780062026088,0062026089,2011.0,Robison Wells,373,"['Young Adult', 'Science Fiction', 'Dystopia', 'Mystery', 'Fiction', 'Thriller', 'Fantasy']",23226,3.94,"{'5 Stars': 7701, '4 Stars': 8519, '3 Stars': 5262, '2 Stars': 1357, '1 Star': 387}"
Grass,isbn not found,isbn13 not found,asin not found,1989.0,Sheri S. Tepper,544,"['Science Fiction', 'Fiction', 'Fantasy', 'Science Fiction Fantasy', 'Speculative Fiction', 'Dystopia', 'Aliens']",13089,4.03,"{'5 Stars': 4825, '4 Stars': 4952, '3 Stars': 2398, '2 Stars': 655, '1 Star': 259}"
