book_title,isbn,isbn13,asin,year_first_published,author,num_pages,genres,num_ratings,average_rating,rating_distribution
Sacrificial Animals,1250328241,9781250328243,1250328241,2024.0,Kailee Pedersen,320,"['Horror', 'Fiction', 'LGBT', 'Queer', 'Thriller', 'Adult', 'Fantasy']",1149,3.34,"{'5 Stars': 163, '4 Stars': 346, '3 Stars': 413, '2 Stars': 175, '1 Star': 52}"
A Sorceress Comes to Call,1250244072,9781250244079,1250244072,2024.0,T. Kingfisher,327,"['Fantasy', 'Horror', 'Fiction', 'Retellings', 'Audiobook', 'Adult', 'Magic']",35679,4.08,"{'5 Stars': 11506, '4 Stars': 16773, '3 Stars': 6265, '2 Stars': 991, '1 Star': 144}"
Shadowland,0425188221,9780425188224,0425188221,1980.0,Peter Straub,468,"['Horror', 'Fantasy', 'Fiction', 'Thriller', 'Mystery', 'Magic', 'Supernatural']",12558,3.89,"{'5 Stars': 3986, '4 Stars': 4506, '3 Stars': 2981, '2 Stars': 824, '1 Star': 261}"
Ghost Story,0671685635,9780671685638,0671685635,1979.0,Peter Straub,567,"['Horror', 'Fiction', 'Paranormal', 'Mystery', 'Ghosts', 'Thriller', 'Fantasy']",81397,3.92,"{'5 Stars': 28032, '4 Stars': 28129, '3 Stars': 17992, '2 Stars': 5250, '1 Star': 1994}"
Houses Without Doors,0451170822,9780451170828,0451170822,1990.0,Peter Straub,464,"['Horror', 'Short Stories', 'Fiction', 'Mystery', 'Collections', 'Thriller', 'Fantasy']",2395,3.7,"{'5 Stars': 621, '4 Stars': 808, '3 Stars': 679, '2 Stars': 209, '1 Star': 78}"
White Hot,006338115,9780063381155,006338115X,2017.0,Ilona Andrews,400,"['Urban Fantasy', 'Fantasy', 'Paranormal', 'Magic', 'Paranormal Romance', 'Audiobook', 'Adult']",51417,4.44,"{'5 Stars': 29356, '4 Stars': 16681, '3 Stars': 4484, '2 Stars': 610, '1 Star': 286}"
The Ghost of Us,1250869765,9781250869760,1250869765,2024.0,James L. Sutter,336,"['Romance', 'Young Adult', 'Lesbian', 'Paranormal', 'Queer', 'LGBT', 'Fantasy']",748,3.48,"{'5 Stars': 126, '4 Stars': 274, '3 Stars': 227, '2 Stars': 74, '1 Star': 47}"
People in Glass Houses,isbn not found,isbn13 not found,B0CF123KZL,2024.0,Jayne Castle,313,"['Fantasy', 'Romance', 'Science Fiction Fantasy', 'Paranormal', 'Fiction', 'Magic', 'Speculative Fiction']",4320,4.4,"{'5 Stars': 2346, '4 Stars': 1430, '3 Stars': 465, '2 Stars': 66, '1 Star': 13}"
Floating Dragon,0425189643,9780425189641,0425189643,1982.0,Peter Straub,595,"['Horror', 'Fiction', 'Fantasy', 'Thriller', 'Science Fiction', 'Supernatural', 'Suspense']",12605,3.83,"{'5 Stars': 3806, '4 Stars': 4348, '3 Stars': 3241, '2 Stars': 885, '1 Star': 325}"
Ankle Snatcher,166251705,9781662517051,B0CF3LKZDQ,2023.0,Grady Hendrix,29,"['Horror', 'Short Stories', 'Audiobook', 'Fiction', 'Novella', 'Thriller', 'Paranormal']",25081,3.71,"{'5 Stars': 5304, '4 Stars': 9763, '3 Stars': 7824, '2 Stars': 1815, '1 Star': 375}"
Alyzon Whitestarr,0143002430,9780143002437,0143002430,2005.0,Isobelle Carmody,584,"['Fantasy', 'Young Adult', 'Paranormal', 'Urban Fantasy', 'Fiction', 'Supernatural', 'Science Fiction']",1315,3.86,"{'5 Stars': 444, '4 Stars': 440, '3 Stars': 286, '2 Stars': 99, '1 Star': 46}"
Xombies,0425197441,9780425197448,0425197441,2004.0,Walter Greatshell,346,"['Zombies', 'Horror', 'Fiction', 'Science Fiction', 'Post Apocalyptic', 'Fantasy', 'Apocalyptic']",1517,3.45,"{'5 Stars': 409, '4 Stars': 363, '3 Stars': 396, '2 Stars': 203, '1 Star': 146}"
House,isbn not found,isbn13 not found,B001EHE8JC,2006.0,Frank E. Peretti,354,"['Horror', 'Christian Fiction', 'Fiction', 'Christian', 'Thriller', 'Mystery', 'Fantasy']",27874,3.56,"{'5 Stars': 7598, '4 Stars': 7640, '3 Stars': 7247, '2 Stars': 3477, '1 Star': 1912}"
The Bloody Ripper,isbn not found,isbn13 not found,B00I2U3BG0,2014.0,T.A. Uner,193,"['Fantasy', 'Science Fiction', 'Steampunk', 'Paranormal', 'Alternate History']",57,3.89,"{'5 Stars': 19, '4 Stars': 21, '3 Stars': 11, '2 Stars': 4, '1 Star': 2}"
Pig Island,0871139529,9780871139528,0871139529,2006.0,Mo Hayder,352,"['Thriller', 'Horror', 'Mystery', 'Fiction', 'Crime', 'Mystery Thriller', 'Suspense']",6752,3.37,"{'5 Stars': 1243, '4 Stars': 1890, '3 Stars': 2182, '2 Stars': 980, '1 Star': 457}"
Magic Strikes [Dramatized Adaption],isbn not found,9798890550200,B0CPCVYYJW,2023.0,Ilona Andrews,10,"['Romance', 'Paranormal', 'Urban Fantasy', 'Fantasy', 'Vampires', 'Magic', 'Audiobook']",361,4.7,"{'5 Stars': 265, '4 Stars': 82, '3 Stars': 14, '2 Stars': 0, '1 Star': 0}"
