book_title,isbn,isbn13,asin,year_first_published,author,num_pages,genres,num_ratings,average_rating,rating_distribution
St. George for England,1887159266,9781887159265,1887159266,1884.0,G.A. Henty,290,"['Historical Fiction', 'Fiction', 'Adventure', 'War', 'Classics', 'Childrens', 'Young Adult']",379,3.83,"{'5 Stars': 98, '4 Stars': 150, '3 Stars': 106, '2 Stars': 18, '1 Star': 7}"
The Crying of Lot 49,006091307,9780060913076,006091307X,1966.0,Thomas Pynchon,152,"['Fiction', 'Classics', 'Literature', 'Novels', 'American', 'Mystery', 'Literary Fiction']",92790,3.69,"{'5 Stars': 24388, '4 Stars': 32389, '3 Stars': 22776, '2 Stars': 9071, '1 Star': 4166}"
The Queen of Spades,1557424373,9781557424372,1557424373,1834.0,Alexander Pushkin,52,"['Classics', 'Short Stories', 'Russia', 'Fiction', 'Russian Literature', '19th Century', 'Literature']",15176,3.92,"{'5 Stars': 4452, '4 Stars': 5985, '3 Stars': 3916, '2 Stars': 697, '1 Star': 126}"
The God Boy,0140018115,9780140018110,0140018115,1957.0,Ian Cross,181,"['Fiction', 'Classics', 'Literary Fiction', 'Literature', 'Historical', 'Family', 'Novels']",329,3.6,"{'5 Stars': 80, '4 Stars': 104, '3 Stars': 94, '2 Stars': 35, '1 Star': 16}"
Århundradets kärlekssaga,9176421457,isbn13 not found,9176421457,1978.0,Märta Tikkanen,185,"['Poetry', 'Feminism', 'Classics', 'Finnish Literature', 'Swedish Literature', 'Fiction', 'Audiobook']",3616,4.3,"{'5 Stars': 1677, '4 Stars': 1442, '3 Stars': 397, '2 Stars': 88, '1 Star': 12}"
The Iron King,0007491263,9780007491261,0007491263,1955.0,Maurice Druon,340,"['Historical Fiction', 'Fiction', 'Fantasy', 'Historical', 'France', 'Medieval', 'Classics']",22151,4.08,"{'5 Stars': 8196, '4 Stars': 8908, '3 Stars': 3947, '2 Stars': 838, '1 Star': 262}"
A Man Lay Dead,0006512518,9780006512516,0006512518,1934.0,Ngaio Marsh,176,"['Mystery', 'Fiction', 'Crime', 'Classics', 'Detective', 'Mystery Thriller', 'British Literature']",16258,3.8,"{'5 Stars': 4280, '4 Stars': 5912, '3 Stars': 4813, '2 Stars': 964, '1 Star': 289}"
Artists in Crime,1579125786,9781579125783,1579125786,1938.0,Ngaio Marsh,316,"['Mystery', 'Fiction', 'Crime', 'Audiobook', 'Classics', 'Detective', 'British Literature']",9578,4.02,"{'5 Stars': 3404, '4 Stars': 3632, '3 Stars': 1997, '2 Stars': 386, '1 Star': 159}"
"Slow Days, Fast Company: The World, the Flesh, and L.A.",1681370085,9781681370088,1681370085,1977.0,Eve Babitz,164,"['Fiction', 'Short Stories', 'Classics', 'Essays', 'Literary Fiction', 'Contemporary', 'Summer']",24071,4.09,"{'5 Stars': 8571, '4 Stars': 10283, '3 Stars': 4271, '2 Stars': 789, '1 Star': 157}"
Her Benny,0900389036,9780900389030,0900389036,1879.0,Silas Kitto Hocking,200,"['Fiction', 'Classics', 'Young Adult', 'Drama', 'British Literature', 'Adult']",376,4.27,"{'5 Stars': 193, '4 Stars': 111, '3 Stars': 56, '2 Stars': 11, '1 Star': 5}"
The Night Before Christmas,isbn not found,isbn13 not found,B0193Y9PHW,2015.0,Rose    Collins,28,"['Christmas', 'Picture Books', 'Childrens', 'Holiday', 'Classics']",354,4.25,"{'5 Stars': 163, '4 Stars': 125, '3 Stars': 60, '2 Stars': 5, '1 Star': 1}"
