book_title,isbn,isbn13,asin,year_first_published,author,num_pages,genres,num_ratings,average_rating,rating_distribution
In the Shadow of Gotham,0312544901,9780312544904,0312544901,2009.0,Stefanie Pintoff,400,"['Mystery', 'Historical Fiction', 'Fiction', 'Historical', 'Historical Mystery', 'Crime', 'Mystery Thriller']",4080,3.51,"{'5 Stars': 578, '4 Stars': 1528, '3 Stars': 1461, '2 Stars': 415, '1 Star': 98}"
Urban Gothic,0843960906,9780843960907,0843960906,2009.0,Brian Keene,301,"['Horror', 'Fiction', 'Splatterpunk', 'Horror Thriller', 'Gothic', 'Thriller', 'Survival']",3701,3.75,"{'5 Stars': 1090, '4 Stars': 1190, '3 Stars': 953, '2 Stars': 339, '1 Star': 129}"
Under the Dome,1439148503,9781439148501,1439148503,2009.0,Stephen        King,1074,"['Horror', 'Fiction', 'Science Fiction', 'Thriller', 'Fantasy', 'Mystery', 'Audiobook']",315595,3.93,"{'5 Stars': 104474, '4 Stars': 117028, '3 Stars': 67824, '2 Stars': 19077, '1 Star': 7192}"
The Complete Circle Series,1595547339,9781595547330,1595547339,2009.0,Ted Dekker,1553,"['Fantasy', 'Fiction', 'Christian Fiction', 'Christian', 'Thriller', 'Audiobook', 'Science Fiction']",3496,4.51,"{'5 Stars': 2315, '4 Stars': 788, '3 Stars': 285, '2 Stars': 66, '1 Star': 42}"
Murder in the Family,0063272075,9780063272071,0063272075,2023.0,Cara Hunter,466,"['Mystery', 'Thriller', 'Mystery Thriller', 'Crime', 'Fiction', 'Book Club', 'Adult']",46708,3.72,"{'5 Stars': 9783, '4 Stars': 19278, '3 Stars': 13524, '2 Stars': 3197, '1 Star': 926}"
The Attic at Wilton Place,1804362972,9781804362976,1804362972,2023.0,C.E. Rose,398,"['Thriller', 'Fiction', 'Mystery']",329,3.6,"{'5 Stars': 80, '4 Stars': 107, '3 Stars': 87, '2 Stars': 42, '1 Star': 13}"
Riding the Devil,1636961878,9781636961873,B0BLS79FFG,2023.0,Blake Banner,306,['Thriller'],3439,4.52,"{'5 Stars': 2181, '4 Stars': 952, '3 Stars': 240, '2 Stars': 46, '1 Star': 20}"
The Blue Monsoon,isbn not found,isbn13 not found,B0BLFCGXR2,2023.0,Damyanti Biswas,394,"['Mystery', 'Thriller', 'Crime', 'Suspense', 'India', 'Mystery Thriller', 'Murder Mystery']",718,4.25,"{'5 Stars': 321, '4 Stars': 280, '3 Stars': 96, '2 Stars': 15, '1 Star': 6}"
Breathless,0553807153,9780553807158,0553807153,2009.0,Dean Koontz,337,"['Fiction', 'Horror', 'Thriller', 'Suspense', 'Mystery', 'Fantasy', 'Science Fiction']",18089,3.58,"{'5 Stars': 4356, '4 Stars': 5426, '3 Stars': 5435, '2 Stars': 2104, '1 Star': 768}"
Dead Fall,1982182229,9781982182229,B0BHTNRQQQ,2023.0,Brad Thor,320,"['Thriller', 'Fiction', 'Mystery', 'Mystery Thriller', 'Action', 'Police', 'Suspense']",15037,4.39,"{'5 Stars': 8346, '4 Stars': 4769, '3 Stars': 1521, '2 Stars': 290, '1 Star': 111}"
Haunt Me Still,052595077,9780525950776,052595077X,2010.0,Jennifer Lee Carrell,406,"['Mystery', 'Fiction', 'Historical Fiction', 'Thriller', 'Mystery Thriller', 'Suspense', 'Historical']",2401,3.39,"{'5 Stars': 396, '4 Stars': 706, '3 Stars': 854, '2 Stars': 320, '1 Star': 125}"
The Woods are Waiting,1639103805,9781639103805,1639103805,2023.0,Katherine  Greene,276,"['Thriller', 'Mystery', 'Horror', 'Mystery Thriller', 'Fiction', 'Audiobook', 'Suspense']",2162,3.39,"{'5 Stars': 244, '4 Stars': 732, '3 Stars': 851, '2 Stars': 284, '1 Star': 51}"
The Engagement Party,1639105980,9781639105984,B0BV5VR8SG,2023.0,Finley  Turner,315,"['Thriller', 'Mystery Thriller', 'Mystery', 'Audiobook', 'Suspense', 'Fiction', 'Adult']",2613,3.41,"{'5 Stars': 452, '4 Stars': 730, '3 Stars': 973, '2 Stars': 359, '1 Star': 99}"
Hell's Horizon,0007261322,9780007261321,0007261322,2009.0,D.B. Shan,400,"['Fantasy', 'Horror', 'Fiction', 'Mystery', 'Thriller', 'Young Adult', 'Crime']",1454,4.11,"{'5 Stars': 591, '4 Stars': 513, '3 Stars': 283, '2 Stars': 52, '1 Star': 15}"
Pursuit of Honor,1416595163,9781416595168,B007H912SQ,2009.0,Vince Flynn,431,"['Fiction', 'Thriller', 'Espionage', 'Mystery', 'Suspense', 'Action', 'Audiobook']",45607,4.36,"{'5 Stars': 23502, '4 Stars': 16273, '3 Stars': 4835, '2 Stars': 702, '1 Star': 295}"
