book_title,isbn,isbn13,asin,year_first_published,author,num_pages,genres,num_ratings,average_rating,rating_distribution
Truth,isbn not found,isbn13 not found,B005CX90LK,2011.0,Molly Evangeline,337,"['Fantasy', 'Christian', 'Christian Fiction', 'Young Adult', 'Christian Fantasy', 'Fiction', 'Adventure']",207,4.02,"{'5 Stars': 92, '4 Stars': 56, '3 Stars': 34, '2 Stars': 21, '1 Star': 4}"
The Mark of Athena,1423140605,9781423140603,1423140605,2012.0,Rick Riordan,586,"['Fantasy', 'Mythology', 'Young Adult', 'Fiction', 'Middle Grade', 'Adventure', 'Greek Mythology']",652587,4.47,"{'5 Stars': 398461, '4 Stars': 183145, '3 Stars': 56455, '2 Stars': 9239, '1 Star': 5287}"
The House of Hades,1423146727,9781423146728,1423146727,2013.0,Rick Riordan,597,"['Fantasy', 'Mythology', 'Young Adult', 'Fiction', 'Middle Grade', 'Adventure', 'Greek Mythology']",462864,4.57,"{'5 Stars': 307081, '4 Stars': 119278, '3 Stars': 30189, '2 Stars': 4433, '1 Star': 1883}"
Under A Fairy Moon,0986865702,9780986865701,0986865702,2011.0,T.M. Wallace,222,"['Fantasy', 'Young Adult', 'Adventure', 'Childrens', 'Middle Grade']",49,3.51,"{'5 Stars': 11, '4 Stars': 13, '3 Stars': 16, '2 Stars': 8, '1 Star': 1}"
Sundial,isbn not found,isbn13 not found,B0DMCJW6L1,2011.0,C.F. Fruzzetti,Nook,"['Young Adult', 'Fantasy', 'Romance', 'Paranormal', 'Science Fiction', 'Fiction', 'Adventure']",275,3.69,"{'5 Stars': 77, '4 Stars': 93, '3 Stars': 65, '2 Stars': 22, '1 Star': 18}"
Above World,0763654175,9780763654177,0763654175,2012.0,Jenn Reese,356,"['Fantasy', 'Middle Grade', 'Science Fiction', 'Young Adult', 'Dystopia', 'Mermaids', 'Adventure']",2020,4.0,"{'5 Stars': 783, '4 Stars': 652, '3 Stars': 420, '2 Stars': 123, '1 Star': 42}"
Percepliquis,1937475018,9781937475017,1937475018,2012.0,Michael J. Sullivan,606,"['Fantasy', 'Epic Fantasy', 'Fiction', 'Audiobook', 'Adventure', 'High Fantasy', 'Magic']",10903,4.5600000000000005,"{'5 Stars': 7117, '4 Stars': 2983, '3 Stars': 667, '2 Stars': 98, '1 Star': 38}"
Prince Caspian,000720230,9780007202300,000720230X,1951.0,C.S. Lewis,240,"['Fantasy', 'Classics', 'Fiction', 'Young Adult', 'Childrens', 'Middle Grade', 'Adventure']",468810,3.98,"{'5 Stars': 155607, '4 Stars': 176867, '3 Stars': 112510, '2 Stars': 19734, '1 Star': 4092}"
A Song of Ice and Fire,1780484259,9781780484259,1780484259,2000.0,George R.R. Martin,5216,"['Fantasy', 'Fiction', 'Science Fiction Fantasy', 'Adventure', 'Dragons', 'Novels', 'High Fantasy']",63741,4.6,"{'5 Stars': 45191, '4 Stars': 13805, '3 Stars': 3368, '2 Stars': 812, '1 Star': 565}"
The Transall Saga,0440219760,9780440219767,0440219760,1998.0,Gary Paulsen,256,"['Science Fiction', 'Young Adult', 'Fiction', 'Fantasy', 'Adventure', 'Childrens', 'Time Travel']",5816,4.22,"{'5 Stars': 2756, '4 Stars': 1913, '3 Stars': 881, '2 Stars': 208, '1 Star': 58}"
The Spoilers,1842320513,9781842320518,1842320513,1969.0,Desmond Bagley,292,"['Thriller', 'Fiction', 'Adventure', 'Mystery', 'Action', 'Crime', 'Mystery Thriller']",438,3.62,"{'5 Stars': 71, '4 Stars': 175, '3 Stars': 148, '2 Stars': 41, '1 Star': 3}"
The Ship of Ishtar,0020228716,9780020228714,0020228716,1924.0,A. Merritt,309,"['Fantasy', 'Fiction', 'Science Fiction', 'Pulp', 'Adventure', 'Time Travel', 'Sword and Sorcery']",614,3.56,"{'5 Stars': 126, '4 Stars': 208, '3 Stars': 189, '2 Stars': 63, '1 Star': 28}"
Event,0312370288,9780312370282,0312370288,2006.0,David L. Golemon,512,"['Thriller', 'Science Fiction', 'Fiction', 'Adventure', 'Action', 'Mystery', 'Aliens']",5724,3.89,"{'5 Stars': 1938, '4 Stars': 1892, '3 Stars': 1356, '2 Stars': 381, '1 Star': 157}"
Soul Eater,1842551140,9781842551141,1842551140,2006.0,Michelle Paver,276,"['Fantasy', 'Young Adult', 'Fiction', 'Adventure', 'Historical Fiction', 'Childrens', 'Historical']",13625,4.3,"{'5 Stars': 6513, '4 Stars': 4952, '3 Stars': 1893, '2 Stars': 221, '1 Star': 46}"
Running Wide Open,1937167003,9781937167004,1937167003,2011.0,Lisa Nowak,332,"['Young Adult', 'Fiction', 'Adventure', 'Amazon', 'Childrens', 'M F Romance', 'Drama']",417,3.82,"{'5 Stars': 140, '4 Stars': 132, '3 Stars': 97, '2 Stars': 24, '1 Star': 24}"
Heart of Oak,0615513638,9780615513638,0615513638,2011.0,M. Kei,248,"['Historical Fiction', 'LGBT', 'Pirates', 'Historical', 'Adventure']",44,4.36,"{'5 Stars': 20, '4 Stars': 22, '3 Stars': 1, '2 Stars': 0, '1 Star': 1}"
Wild: From Lost to Found on the Pacific Crest Trail,0307592731,9780307592736,0307592731,2012.0,Cheryl Strayed,336,"['Nonfiction', 'Memoir', 'Book Club', 'Travel', 'Biography', 'Adventure', 'Audiobook']",844358,4.07,"{'5 Stars': 325917, '4 Stars': 315765, '3 Stars': 149985, '2 Stars': 37460, '1 Star': 15231}"
The Dark Tower Series: Books 1-7,1780484542,9781780484549,1780484542,2005.0,Stephen        King,3914,"['Fantasy', 'Fiction', 'Horror', 'Science Fiction', 'Thriller', 'Adventure', 'Science Fiction Fantasy']",12485,4.62,"{'5 Stars': 9142, '4 Stars': 2374, '3 Stars': 671, '2 Stars': 175, '1 Star': 123}"
Captains Courageous,isbn not found,isbn13 not found,B0DSZWZ7T4,1897.0,Rudyard Kipling,Nook,"['Classics', 'Fiction', 'Adventure', 'Historical Fiction', 'Literature', 'Young Adult', 'Childrens']",22028,3.86,"{'5 Stars': 6721, '4 Stars': 7651, '3 Stars': 5846, '2 Stars': 1363, '1 Star': 447}"
Bladestay,0744306949,9780744306941,0744306949,2023.0,Jackie  Johnson,304,"['Historical Fiction', 'Young Adult', 'Westerns', 'Historical', 'Fiction', 'Adventure', 'Romance']",411,4.04,"{'5 Stars': 150, '4 Stars': 156, '3 Stars': 83, '2 Stars': 17, '1 Star': 5}"
Return of the Guardian-King,0764227971,9780764227974,0764227971,2007.0,Karen Hancock,461,"['Fantasy', 'Christian Fiction', 'Christian', 'Fiction', 'Christian Fantasy', 'Romance', 'Adventure']",1823,4.32,"{'5 Stars': 965, '4 Stars': 555, '3 Stars': 235, '2 Stars': 49, '1 Star': 19}"
To the Ends of the Earth,0571225411,9780571225415,0571225411,1991.0,William Golding,784,"['Fiction', 'Historical Fiction', 'Classics', 'Adventure', 'Historical', 'Travel', '20th Century']",385,4.09,"{'5 Stars': 158, '4 Stars': 131, '3 Stars': 74, '2 Stars': 16, '1 Star': 6}"
The Harry Potter Wizarding Almanac: The Official Magical Companion to J.K. Rowling's Harry Potter Books,1339018144,9781339018140,1339018144,2023.0,J.K. Rowling,208,"['Fantasy', 'Fiction', 'Magic', 'Young Adult', 'Adventure', 'Novels', 'Action']",9363,4.27,"{'5 Stars': 5579, '4 Stars': 1984, '3 Stars': 1018, '2 Stars': 335, '1 Star': 447}"
Big Red,0553154346,9780553154344,0553154346,1945.0,Jim Kjelgaard,224,"['Fiction', 'Animals', 'Classics', 'Young Adult', 'Childrens', 'Dogs', 'Adventure']",17838,4.14,"{'5 Stars': 7785, '4 Stars': 5838, '3 Stars': 3396, '2 Stars': 574, '1 Star': 245}"
The Adventures of Amina al-Sirafi,isbn not found,isbn13 not found,asin not found,2023.0,Shannon Chakraborty,489,"['Fantasy', 'Historical Fiction', 'Fiction', 'Pirates', 'Audiobook', 'Adventure', 'Adult']",69289,4.26,"{'5 Stars': 31014, '4 Stars': 27387, '3 Stars': 8915, '2 Stars': 1546, '1 Star': 427}"
The Map of Lost Memories,0345531345,9780345531346,0345531345,2012.0,Kim Fay,336,"['Historical Fiction', 'Fiction', 'Mystery', 'Historical', 'Adventure', 'Asia', 'Book Club']",2318,3.32,"{'5 Stars': 305, '4 Stars': 665, '3 Stars': 908, '2 Stars': 349, '1 Star': 91}"
The Wind Through the Keyhole,isbn not found,isbn13 not found,B0DSZX2QVW,2012.0,Stephen        King,322,"['Fantasy', 'Fiction', 'Horror', 'Science Fiction', 'Audiobook', 'Westerns', 'Adventure']",89965,4.14,"{'5 Stars': 35096, '4 Stars': 36004, '3 Stars': 15720, '2 Stars': 2541, '1 Star': 604}"
Blasphemy,0765311054,9780765311054,B007212FY4,2008.0,Douglas Preston,381,"['Thriller', 'Fiction', 'Science Fiction', 'Mystery', 'Suspense', 'Audiobook', 'Adventure']",11505,3.74,"{'5 Stars': 2737, '4 Stars': 4358, '3 Stars': 3296, '2 Stars': 878, '1 Star': 236}"
The Bourne Legacy,0312999526,9780312999520,0312999526,1995.0,Eric Van Lustbader,597,"['Fiction', 'Thriller', 'Mystery', 'Action', 'Espionage', 'Suspense', 'Adventure']",30032,3.9,"{'5 Stars': 9169, '4 Stars': 11477, '3 Stars': 7175, '2 Stars': 1591, '1 Star': 620}"
Brave Story,1421511967,9781421511962,1421511967,2003.0,Miyuki Miyabe,816,"['Fantasy', 'Young Adult', 'Fiction', 'Japan', 'Japanese Literature', 'Adventure', 'Middle Grade']",2849,4.18,"{'5 Stars': 1342, '4 Stars': 890, '3 Stars': 455, '2 Stars': 117, '1 Star': 45}"
Men of Honor,0615520863,9780615520865,0615520863,2010.0,M. Kei,290,"['Historical Fiction', 'M M Romance', 'Pirates', 'LGBT', 'Historical', 'Adventure', 'Queer']",82,4.34,"{'5 Stars': 42, '4 Stars': 29, '3 Stars': 9, '2 Stars': 1, '1 Star': 1}"
"Shogun, ­Tai-Pan, Gai-jin",884525545,9788845255458,884525545X,2005.0,James Clavell,Paperback,"['Fiction', 'Historical Fiction', 'Japan', 'Adventure', 'Novels']",366,4.61,"{'5 Stars': 253, '4 Stars': 86, '3 Stars': 25, '2 Stars': 1, '1 Star': 1}"
"One Piece, Volume 1: Romance Dawn",1569319014,9781569319017,1569319014,1997.0,Eiichiro Oda,207,"['Manga', 'Fantasy', 'Comics', 'Graphic Novels', 'Adventure', 'Fiction', 'Pirates']",167078,4.49,"{'5 Stars': 113297, '4 Stars': 32435, '3 Stars': 14555, '2 Stars': 3660, '1 Star': 3131}"
Rolf in the Woods: The Adventures of a Boy Scout With Indian Quonab and Little Dog Skookum,1885529090,9781885529091,1885529090,1911.0,Ernest Thompson Seton,472,"['Historical Fiction', 'Adventure', 'Young Adult', 'Fiction', 'Classics']",191,4.25,"{'5 Stars': 95, '4 Stars': 59, '3 Stars': 28, '2 Stars': 7, '1 Star': 2}"
The Stonekeeper,0439846803,9780439846806,0439846803,2008.0,Kazu Kibuishi,192,"['Graphic Novels', 'Fantasy', 'Comics', 'Middle Grade', 'Adventure', 'Childrens', 'Fiction']",108566,4.16,"{'5 Stars': 51173, '4 Stars': 32471, '3 Stars': 18337, '2 Stars': 4466, '1 Star': 2119}"
Iron Men,0615520847,9780615520841,0615520847,2010.0,M. Kei,252,"['Historical Fiction', 'Pirates', 'M M Romance', 'LGBT', 'Historical', 'Queer', 'Adventure']",59,4.42,"{'5 Stars': 33, '4 Stars': 21, '3 Stars': 3, '2 Stars': 1, '1 Star': 1}"
