book_title,isbn,isbn13,asin,year_first_published,author,num_pages,genres,num_ratings,average_rating,rating_distribution
Letters from Home,1847562418,9781847562418,1847562418,2011.0,Kristina McMorris,369,"['Historical Fiction', 'Romance', 'Fiction', 'Historical', 'World War II', 'Historical Romance', 'War']",4999,3.92,"{'5 Stars': 1484, '4 Stars': 2027, '3 Stars': 1183, '2 Stars': 235, '1 Star': 70}"
Pale Queen's Courtyard,isbn not found,isbn13 not found,B004XTTVCC,2011.0,Marcin Wrona,323,"['Fantasy', 'Historical Fiction', 'Fiction']",51,4.02,"{'5 Stars': 15, '4 Stars': 25, '3 Stars': 8, '2 Stars': 3, '1 Star': 0}"
Robert Kennedy: His Life,0743203291,9780743203296,0743203291,2000.0,Evan Thomas,512,"['Biography', 'History', 'Nonfiction', 'Politics', 'American History', 'The United States Of America', 'Biography Memoir']",3750,4.23,"{'5 Stars': 1701, '4 Stars': 1390, '3 Stars': 513, '2 Stars': 101, '1 Star': 45}"
The Snow Child,0316175676,9780316175678,0316175676,2012.0,Eowyn Ivey,386,"['Fiction', 'Historical Fiction', 'Fantasy', 'Book Club', 'Magical Realism', 'Historical', 'Fairy Tales']",164407,4.01,"{'5 Stars': 53374, '4 Stars': 70161, '3 Stars': 32397, '2 Stars': 6422, '1 Star': 2053}"
The Song of Achilles,1408816032,9781408816035,1408816032,2011.0,Madeline Miller,352,"['Fantasy', 'Historical Fiction', 'Romance', 'Fiction', 'Mythology', 'LGBT', 'Queer']",1813692,4.31,"{'5 Stars': 973735, '4 Stars': 537245, '3 Stars': 219880, '2 Stars': 59540, '1 Star': 23292}"
Nothing Daunted: The Unexpected Education of Two Society Girls in the West,1439176582,9781439176580,1439176582,2011.0,Dorothy Wickenden,304,"['Nonfiction', 'History', 'Biography', 'Book Club', 'Memoir', 'Historical', 'Westerns']",6858,3.44,"{'5 Stars': 999, '4 Stars': 2349, '3 Stars': 2437, '2 Stars': 835, '1 Star': 238}"
A Most Dangerous Profession,1439175942,9781439175941,1439175942,2011.0,Karen Hawkins,349,"['Historical Romance', 'Romance', 'Historical', 'Scotland', 'Historical Fiction', 'Regency', 'Regency Romance']",995,3.96,"{'5 Stars': 333, '4 Stars': 364, '3 Stars': 235, '2 Stars': 52, '1 Star': 11}"
Grace Williams Says It Loud,isbn not found,isbn13 not found,B0DTRMC6W7,2010.0,Emma Henderson,336,"['Fiction', 'Book Club', 'Young Adult', 'Literary Fiction', 'Contemporary', 'Historical', 'Mental Health']",1222,3.39,"{'5 Stars': 193, '4 Stars': 373, '3 Stars': 426, '2 Stars': 173, '1 Star': 57}"
The Kashmir Shawl,0007285965,9780007285969,0007285965,2011.0,Rosie Thomas,400,"['Historical Fiction', 'Fiction', 'India', 'Book Club', 'Historical', 'Romance', 'Travel']",10321,4.0,"{'5 Stars': 3516, '4 Stars': 4077, '3 Stars': 2090, '2 Stars': 452, '1 Star': 186}"
The Walled Orchard,0349114528,9780349114521,0349114528,1990.0,Tom Holt,608,"['Historical Fiction', 'Fiction', 'Fantasy', 'Humor', 'Historical', 'Greece', 'Classics']",398,4.23,"{'5 Stars': 177, '4 Stars': 157, '3 Stars': 47, '2 Stars': 13, '1 Star': 4}"
